CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Chi phí tiền lãi vay,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Lãi/lỗ từ công ty liên doanh,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,_Thu nhập tài chính,_Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,_Chi phí tài chính,_Chi phí bán hàng,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác
SSI,2024,8529279575474,0.191624181124013,2835023120364,0.23649953650056182,8529279575474,-3287961608948,5241317966526,179295911401.0,-1574924138007.0,-1505764783295.0,0.0,-301749636986,3543940102934,0.0,-412619272,3543527483662,-694521335141,-3897115849,2845109032672,10085912308,2835023120364,0.0,0.0,8529279575474,0,0.0,0.0,2504237662,0,-2916856934
SSI,2023,7157692593506,0.12971788006507626,2292781385416,0.3492347088456149,7157692593506,-2434565309825,4723127283681,123303909120.0,-1637647690041.0,-1570439043267.0,0.0,-361707269173,2847076233587,0.0,1490736606,2848566970193,-543354773079,-10739375556,2294472821558,1691436142,2292781385416,0.0,0.0,7157692593506,0,0.0,0.0,2414205998,0,-923469392
SSI,2022,6335823057960,-0.14877492807748716,1699319896223,-0.369668345038323,6335823057960,-2704835403085,3630987654875,180692993813.0,-1415635205238.0,-1030649945603.0,0.0,-296389420325,2099656023125,0.0,10047368652,2109703391777,-458919223108,46909000130,1697693168799,-1626727424,1699319896223,0.0,0.0,6335823057960,0,0.0,0.0,11255802218,0,-1208433566
SSI,2021,7443181911513,0.7044930134600915,2695913941251,1.144085387416762,7443181911513,-3154562452931,4288619458582,343297443354.0,-1114596408351.0,-1029858485847.0,0.0,-265009663885,3252310829700,0.0,112728011469,3365038841169,-650668031005,-19303112144,2695067698020,-846243231,2695913941251,0.0,0.0,7443181911513,0,0.0,0.0,114101341802,0,-1373330333
SSI,2020,4366801067963,0.3498703567883624,1257372470832,0.38294159757479174,4366801067963,-1901795771055,2465005296908,208753551822.0,-937145051524.0,-829431323089.0,0.0,-184156140350,1552457656856,0.0,5095628207,1557553285063,-267248078434,-34373387674,1255931818955,-1440651877,1257372470832,0.0,0.0,4366801067963,0,0.0,0.0,5273691839,0,-178063632
SSI,2019,3234978119197,-0.11921569438777133,909201424729,-0.3032566506084333,3234978119197,-1171007928137,2063970191060,66506281887.0,-838621571320.0,-804176964572.0,0.0,-193238253772,1098616647855,0.0,6906913602,1105523561457,-178677854956,-19748730470,907096976031,-2104448698,909201424729,0.0,0.0,3234978119197,0,0.0,0.0,7067722985,0,-160809383
SSI,2018,3672838058744,0.26733590463063794,1304930180565,0.12314569614148088,3672838058744,-1651029769527,2021808289217,265824273906.0,-546918991863.0,-536540563261.0,0.0,-173683645242,1567029926018,0.0,56183537937,1623213463955,-319845580653,-430640744,1302937242558,-1992938007,1304930180565,0.0,0.0,3672838058744,0,0.0,0.0,58417373996,0,-2233836059
SSI,2017,2898077806621,0.18495411050670152,1161852985813,0.22726185307828473,2898077806621,-1137397028656,1760680777965,145112285812.0,-345449771401.0,-343581229539.0,0.0,-168028766259,1392314526117,0.0,12706882916,1405021409033,-227147912674,-16768900536,1161104595823,-748389990,1161852985813,0.0,0.0,2898077806621,0,0.0,0.0,13087665727,0,-380782811
SSI,2016,2445729991503,0.5804203014430472,946703413700,0.1249299375335463,2445729991503,-989364459231,1456365532272,95199481327.0,-269410405448.0,-269221826624.0,0.0,-140593608205,1141560999946,0.0,2501998996,1144062998942,-220703920528,21305157136,944664235550,-2039178153,946703413700,0.0,0.0,2445729991503,0,0.0,0.0,2628448016,0,-126449020
SSI,2015,1547518713389,-0.010923759268940793,841566556381,0.12987706908372237,1547518713389,-495009251967,1052509461422,255422576215.0,-125256024645.0,-125206111513.0,0.0,-133916451407,1048759561585,0.0,5038079472,1053797641057,-201803574229,-12133985703,839860081125,-1706475256,841566556381,0.0,0.0,1547518713389,0,0.0,0.0,5207458436,0,-169378964
SSI,2014,1564610137885,1.1523122889266997,744830193840,0.7816994583285397,1564510137885,-689827540779,874682597106,0.0,0.0,0.0,0.0,-14759715127,874189886763,14267004784.0,-5367783,927840400057,-218587928515,35443063119,744695534661,-134659179,744830193840,0.0,0.0,1564610137885,-100000000,0.0,0.0,53650513294,0,53655881077
SSI,2013,726943829636,,418044800069,,726943829636,-386476250295,340467579341,,,,,-12022643097,328444936244,,62998173758,505834184178,-88381199859,-117048764,417335935555,708864514,418044800069,,,726943829636,0,,,63070461122,114391074176,-72287364
