CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VIC,2024,0.19033017281941514,192182081000000,11735294000000,4.4407519964764655,48081780000000,-22892295000000,192182081000000,-22614000000,192159467000000,-164047323000000,28112144000000,-30708809000000,848773000000,-18681151000000,-16400865000000,11251872000000,9758156000000,0,-4285680000000,5472476000000,16724348000000,-13053721000000,1580375000000,5251002000000,-6484292000000,11735294000000
VIC,2023,0.5858314303762273,161452751000000,2156925000000,-0.7543886199064185,20502485000000,-17245871000000,161452751000000,-25183000000,161427568000000,-137919092000000,23508476000000,-22841357000000,-97825000000,-12513907000000,-13463255000000,-4905383000000,22132506000000,0,-3457771000000,18674735000000,13769352000000,-11287235000000,-426056000000,2056061000000,-100864000000,2156925000000
VIC,2022,-0.19057947979818632,101809529000000,8781861000000,4.49334515568147,33048100000000,-10758322000000,101809529000000,-15947000000,101793582000000,-87099750000000,14693832000000,-14326299000000,-86524000000,-9371097000000,-15953649000000,8004363000000,5809849000000,0,-1058694000000,4751155000000,12755518000000,-11230925000000,519751000000,2044344000000,-6737517000000,8781861000000
VIC,2021,0.13566156450004463,125780761000000,-2513883000000,-1.460028287383567,16045903000000,-10288893000000,125780761000000,-92891000000,125687870000000,-91623165000000,34064705000000,-11363667000000,-41668000000,-6909908000000,-24034459000000,7760906000000,1164220000000,0,-5778675000000,-4614455000000,3146451000000,-9905355000000,-799260000000,-7558164000000,-5044281000000,-2513883000000
VIC,2020,-0.14909106154499047,110755497000000,5464627000000,-0.2758165179438146,31068411000000,-11402385000000,110755497000000,-265464000000,110490033000000,-93177227000000,17312806000000,-12804561000000,-265278000000,-7253585000000,-13403089000000,14654704000000,982699000000,0,-1694848000000,-712149000000,13942555000000,-10282745000000,885763000000,4545573000000,-919054000000,5464627000000
VIC,2019,0.06714380119049042,130161398000000,7545915000000,0.9734388251917822,14000889000000,-7147357000000,130161398000000,-125384000000,130036014000000,-92484797000000,37551217000000,-8181371000000,-688443000000,-14248448000000,-12677438000000,15756406000000,832187000000,0,-951169000000,-118982000000,15637424000000,-8286824000000,366013000000,7716613000000,170698000000,7545915000000
VIC,2018,0.3644586271376723,121971751000000,3823739000000,-0.1431227590975662,7478550000000,-3939282000000,121971751000000,-77350000000,121894401000000,-92943726000000,28950675000000,-4908950000000,-424919000000,-10112289000000,-7367839000000,13615228000000,778971000000,0,-493550000000,285421000000,13900649000000,-7273130000000,-389626000000,6237893000000,2414154000000,3823739000000
VIC,2017,0.5500511140915215,89392047933230,4462411670513,0.31845042988394323,1636951439612,-3401633686717,89392047933230,-41999335317,89350048597913,-62796326957038,26553721640875,-3786983558714,44400927597,-8150455992627,-6852447761955,9445186694788,434964045806,0,-765869262018,-330905216212,9114281478576,-3731381559479,272041872129,5654941791226,1192530120713,4462411670513
VIC,2016,0.6934500042405992,57670387202439,3384588126613,1.78389390371395,6762384524143,-4308066793490,57670387202439,-56043536545,57614343665894,-40184632606036,17429711059858,-5389034072187,19823588740,-6672815695018,-5481841090812,6668228314724,688479678357,0,-618871762087,69607916270,6737836230994,-2534168929813,254477855941,4458145157122,1073557030509,3384588126613
VIC,2015,0.2282372918294531,34054968884836,1215774826080,-0.6150884903886187,1931520080322,-2721940288870,34054968884836,-7002571734,34047966313102,-22338933561491,11709032751611,-3282074915976,39227754200,-2957825676439,-3922773154112,3517106839606,283039374788,0,-948045248993,-665005874205,2852100965401,-1424642826631,74017304681,1501475443451,285700617371,1215774826080
VIC,2014,0.5085856871434926,27726701600235,3158582676074,-0.5340988249386499,1346022091036,-2711269664974,27726701600235,-3068229199,27723633371036,-17284911479916,10438721891120,-3491052587060,-8770659254,-739332476177,-2170716923462,5374871336203,241964963890,0,-207155661595,34809302295,5409680638498,-1653273503894,19638606879,3776045741483,617463065409,3158582676074
VIC,2013,,18379268633216,6779512147953,,6436048755221,-1459922785660,18379268633216,-1629787510,18377638845706,-11346984128307,7030654717399,-1943627332561,0,-450072453875,-1466422267061,9606581419123,135646492056,54700187785,-56842117086,78804374970,9740085981878,-2594314637696,3516776375,7149288120557,369775972604,6779512147953
